"Agency","Project","Heading","TITLE","Main Document Name","Document Type","Document Date","Filename","Document URL (Source)","Related Document(s) Name","Related Document(s) Date","Related Document(s) Filename","Related Document(s) URL (Source)"
"MEM","Brule","Annual Reports","2015 Annual Reclamation Report","2015 Annual Reclamation Report","Annual Reclamation Report",2016-06-08,"C-221_Brule_2016-06-10_ARR_2015_Redacted","https://mines.empr.gov.bc.ca/api/document/5886b40b21c6e7001b50d16b/fetch",,,,
"MEM","Coal Mountain Operations","Annual Reports","2015 Annual Reclamation Report","Annual Reclamation Report 2015","Annual Reclamation Report",2016-03-31,"C-84_Coal_Mountain_2016-03-31_ARR_2015_Redacted","https://mines.empr.gov.bc.ca/api/document/5886b6f121c6e7001b50d1df/fetch",,,,
"MEM","Coal Mountain Operations","Annual Dam Safety Inspections (DSIs)","2015 Annual DSIs","Corbin Pond, Main Ponds and 7 Pit Ponds - 2015 Annual Dam Safety Inspections","Annual Dam Safety Inspection (DSI) Report",2016-03-11,"C-84_Coal_Mountain_2016-03-11_DSI_Report_CorbinPond_MainPonds_7PitPonds_2015.pdf","https://mines.empr.gov.bc.ca/api/document/589a6f327b0780001d9ba748/fetch",,,,
"MEM","Elkview Operations","Annual Reports","2015 Annual Reclamation Report","Annual Reclamation Report for 2015","Annual Reclamation Report",2016-03-16,"C-2_Elkview_2016-03-16_ARR_2015_Redacted.pdf","https://mines.empr.gov.bc.ca/api/document/5886b61021c6e7001b50d1b3/fetch",,,,
"MEM","Elkview Operations","Annual Reports","2015 Annual Report – Comparing Monitoring Data to Flow and Water Quality Modelling Predictions in the Elk Valley","2015 Annual Report – Comparing Monitoring Data to Flow and Water Quality Modelling Predictions in the Elk Valley","Annual Report",2016-03-31,"C-2_Elkview_2016-03-31_AnnualRpt_2015_WQ_Monitoring_Modelling_Comparison.pdf","https://mines.empr.gov.bc.ca/api/document/589a782c7b0780001d9ba762/fetch",,,,
"MEM","Fording River Operations","Annual Reports","2015 Annual Reclamation Report","Annual Reclamation Report 2015","Annual Reclamation Report",2016-03-31,"C-3_Fording_River_2016-03-31_ARR_2015","https://mines.empr.gov.bc.ca/api/document/5886b7c921c6e7001b50d213/fetch",,,,
"MEM","Fording River Operations","Management Plans","Five Year Mine Plan and Reclamation Plan, 2017–2021","Five Year Mine Plan and Reclamation Plan, 2017–2021","Management Plan",2016-09-30,"C-3_Fording_River_2016-09-30_Five_Year_Mine_Reclamation_Plan_2017-2021","https://mines.empr.gov.bc.ca/api/document/583de2fd906f550019a4dbbf/fetch",,,,
"MEM","Fording River Operations","Management Plans","Five Year/Conceptual Reclamation Report, 2008–2013","Five Year/Conceptual Reclamation Report for 2008–2013","Management Plan",2008-12-15,"C-3_Fording_River_2008-12-15_Five_Year_Mine_Reclamation_Plan_2008-2013","https://mines.empr.gov.bc.ca/api/document/583ddea9906f550019a4db90/fetch",,,,
"MEM","Fording River Operations","Management Plans","Erosion and Sediment Control Management Plan","Erosion and Sediment Control Management Plan","Management Plan",2016-03-31,"C-3_Fording_River_2016-03-31_Erosion_Sediment_Ctrl_Mgmt_Plan","https://mines.empr.gov.bc.ca/api/document/589a81377b0780001d9ba76f/fetch",,,,
"MEM","Greenhills Operations","Annual Reports","2015 Annual Reclamation Report","2015 Annual Reclamation Report","Annual Reclamation Report",2016-03-24,"C-137_Greenhills_2016-03-24_ARR_2015.pdf","https://mines.empr.gov.bc.ca/api/document/5886b68521c6e7001b50d1cc/fetch",,,,
"MEM","Greenhills Operations","Management Plans","Five Year/Conceptual Reclamation Report, 2014–2018 ","Five Year/Conceptual Reclamation Report for 2014–2018","Management Plan",2013-03-05,"C-137_Greenhills_2013-03-05_Five_Year_Reclamation_Plan_2014-2018_Redacted","https://mines.empr.gov.bc.ca/api/document/583de532906f550019a4dbd3/fetch",,,,
"MEM","Line Creek Operations","Annual Reports","2015 Annual Reclamation Report","Annual Reclamation Report for 2015","Annual Reclamation Report",2016-03-31,"C-129_Line_Creek_2016-03-31_ARR_2015","https://mines.empr.gov.bc.ca/api/document/5886b73921c6e7001b50d1f3/fetch",,,,
